date,V,time
0,-2.2038277289721906,0
0,-1.888718431521578,1
0,-1.8686030435156458,2
0,-1.9497057319221973,3
0,-1.8160385619719317,4
0,-1.3054983610264985,5
0,-0.49629229856632595,6
0,0.3047254184826701,7
0,0.8038066297393333,8
0,0.9899982100207904,9
0,1.077746106878997,10
0,1.4186895691366168,11
0,2.174504006367297,12
0,3.189722699926615,13
0,4.081501083722534,14
0,4.443427400747154,15
0,4.15064086400155,16
0,3.4097127913256577,17
0,2.6041235829371088,18
0,2.051674677532945,19
0,1.8243795491396118,20
0,1.7690419418775243,21
0,1.704556383422597,22
0,1.5772178460745303,23
0,1.5327537097356305,24
0,1.7827796918313568,25
0,2.3708250321418936,26
0,3.1076693893716674,27
0,3.6453431562402985,28
0,3.7387007466406588,29
0,3.3840925708247025,30
0,2.917031512173065,31
0,2.7397371704614795,32
0,3.067400190969137,33
0,3.7924400776017193,34
0,4.565505135296388,35
0,5.004741137508745,36
0,5.003946029156918,37
0,4.711093652691053,38
0,4.4048936934613545,39
0,4.260309280743606,40
0,4.187161187710794,41
0,3.8740218138252023,42
0,3.0847304255120664,43
0,1.7921724719076948,44
0,0.29017666679087073,45
0,-1.0000613627305999,46
0,-1.8520126159792056,47
0,-2.300306396217942,48
0,-2.65652955517425,49
0,-3.2683166510780266,50
0,-4.2535265570585645,51
0,-5.431497150855801,52
0,-6.49903295775346,53
0,-7.1948797479739195,54
0,-7.501038793520108,55
0,-7.590613749943936,56
0,-7.647358093701559,57
0,-7.68034069686379,58
0,-7.494202768871513,59
0,-6.901467136595579,60
0,-5.8956371847822355,61
0,-4.7336583681019455,62
0,-3.8786100728985407,63
0,-3.670902075151379,64
0,-4.158521527420995,65
0,-5.044972123376511,66
0,-5.879640671774696,67
0,-6.354714510233741,68
0,-6.507222077198206,69
0,-6.577279283814185,70
0,-6.866957370986498,71
0,-7.431413936530659,72
0,-8.062137913406449,73
0,-8.446087676334848,74
0,-8.37987769349065,75
0,-7.933964605075054,76
0,-7.410693057114235,77
0,-7.077879152146113,78
0,-6.9768803880321535,79
0,-6.868802425092968,80
0,-6.414915420008344,81
0,-5.397684756850942,82
0,-3.9050790559930793,83
0,-2.285485796402118,84
0,-0.9181237338808202,85
0,0.03151559403696433,86
0,0.6380463743808408,87
0,1.1296590810620737,88
0,1.653119197389878,89
0,2.1419628174792145,90
0,2.4056521549779566,91
0,2.291171887850735,92
0,1.883039109717938,93
0,1.4841796982975817,94
0,1.442580591883484,95
0,1.8802157439437732,96
0,2.598095332129715,97
0,3.17534153615882,98
0,3.2476091850976094,99
0,2.748222284743497,100
0,1.9602288817710158,101
0,1.3084248697297063,102
0,1.119019123137338,103
0,1.4088849242001429,104
0,1.9328831725051123,105
0,2.3956456825796737,106
0,2.707530607471307,107
0,3.0134153634371077,108
0,3.559348418582985,109
0,4.479561967376811,110
0,5.610336382804517,111
0,6.61766375404769,112
0,7.1710843545221685,113
0,7.190265053791127,114
0,6.892375349474464,115
0,6.629650260764862,116
0,6.618230105608346,117
0,6.824023994274248,118
0,6.9912375165416725,119
0,6.836707169409946,120
0,6.299721891343625,121
0,5.535909050408602,122
0,4.812808898040657,123
0,4.28817822535813,124
0,3.8710351959074343,125
0,3.3462992843658257,126
0,2.5630680711466005,127
0,1.621804092927297,128
0,0.8751408895845918,129
0,0.7380542751412281,130
0,1.367531206351193,131
0,2.5925660207408407,132
0,3.9247015092684943,133
0,4.91453756813034,134
0,5.3562364580224395,135
0,5.401431628287295,136
0,5.391350677774573,137
0,5.557323695991054,138
0,5.919428704183953,139
0,6.2493070270420255,140
0,6.312623810486093,141
0,6.034514170212272,142
0,5.631322643913091,143
0,5.372295113006364,144
0,5.421136295559085,145
0,5.649425702657008,146
0,5.761398110302882,147
0,5.459038753900148,148
0,4.708766900295146,149
0,3.745336711122016,150
0,2.917425436749625,151
0,2.470674709470651,152
0,2.347820282253579,153
0,2.3108065606887345,154
0,2.092678123961967,155
0,1.6347732860967754,156
0,1.1061796684410146,157
0,0.7505128155687165,158
0,0.6628415836615795,159
0,0.6639484541127562,160
0,0.42277266195742713,161
0,-0.3028329532557622,162
0,-1.4533984838355134,163
0,-2.6754829555946245,164
0,-3.5081098083456954,165
0,-3.6897177382834214,166
0,-3.313978382564567,167
0,-2.7615110496717348,168
0,-2.466766637856816,169
0,-2.6330054495112805,170
0,-3.1383527218858087,171
0,-3.7004765816614573,172
0,-4.0700402313567805,173
0,-4.25671751170007,174
0,-4.44719607997669,175
0,-4.823655874528295,176
0,-5.389650320964668,177
0,-5.92904428874731,178
0,-6.119802354285615,179
0,-5.847278512818775,180
0,-5.25459107275976,181
0,-4.6837496610637555,182
0,-4.465665011328033,183
0,-4.673841287298465,184
0,-5.101683075953723,185
0,-5.422734744561982,186
0,-5.439607508157545,187
0,-5.211092658101171,188
0,-4.993281539677131,189
0,-5.031357360390277,190
0,-5.336261439981803,191
0,-5.6937824412336075,192
0,-5.798896293699421,193
0,-5.548863585053815,194
0,-5.0939696883424626,195
0,-4.8299320276939275,196
0,-5.0408964326334615,197
0,-5.728317276923269,198
0,-6.572568464478938,199
0,-7.0927392519459165,200
0,-6.98847067043403,201
0,-6.266546705068456,202
0,-5.263343545592384,203
0,-4.36909442047792,204
0,-3.7881176875042115,205
0,-3.4821035943233003,206
